0.006353790827891643,	0.01497520278534124,	0.06833107547275341,	0.024650289381071114,	-0.005429112772528651,	0.15501719433012892,	-0.15963289900711775,	0.018897213301812103,	-0.018047694475179395,	-0.0073854906078959955
0.006611957234184124,	0.02527869833154119,	0.07266238984132471,	0.024831169713077403,	-0.005191108463600035,	0.19207324103771098,	-0.19490695825410595,	0.02385293880035751,	-0.021709137951650605,	-0.0073854906078959955
0.007072472554819175,	0.03358037759799908,	0.06145878684971952,	0.021733511947790742,	-0.0027781542857749334,	0.2472968897977221,	-0.25213118638132365,	0.023627910587912988,	-0.02390891578342615,	-0.0073854906078959955
0.007405189284979639,	0.04259699606484318,	0.04826222942506399,	0.018476469314258715,	5.057118533257113E-5,	0.24012937821172425,	-0.2451618475147704,	0.023290093944699282,	-0.02529763655003594,	-0.0073854906078959955
0.0076166893278661165,	0.050677594838992805,	0.04981848615711138,	0.019644659144627676,	-0.0012789617709819537,	0.3166999253198722,	-0.32223105987352707,	0.02567838315234626,	-0.028965127793411618,	-0.0073854906078959955
0.0076907075420462765,	0.05974637476754854,	0.04487991542275897,	0.01790941749304304,	4.985759371485252E-4,	0.2897990241805801,	-0.29365593638759707,	0.025596225389553178,	-0.02867668303742489,	-0.0073854906078959955
0.007324044577875469,	0.06731651723609887,	0.07428562897876194,	0.026020438615862798,	-0.0074271741534890495,	0.34440222700460693,	-0.3502150965619028,	0.033288337248137165,	-0.0376109707277724,	-0.0073854906078959955
0.00737235954437216,	0.07507161513964898,	0.07313430862851517,	0.02686044073910344,	-0.008319555661662651,	0.35381635997659094,	-0.361451325733306,	0.03542525874371804,	-0.041376457605053124,	-0.0073854906078959955
0.008068179378508584,	0.08292507466489689,	0.031081474548410926,	0.015139349299953557,	0.00226719256102797,	0.3009218194542733,	-0.3054971549351344,	0.025505814645154126,	-0.03267184184056141,	-0.0073854906078959955
0.008164721319545386,	0.09083031066784233,	0.022464411257321976,	0.013966994538587428,	0.003352924284830077,	0.3210643144388903,	-0.3261870357740868,	0.026152176717474274,	-0.03384239664577086,	-0.0073854906078959955
